source_name,author,title,description,url,url_to_image,published_at,content
Ibtimes.com.au,Daniel Lee,10 Best AI Chip Makers in 2026: NVIDIA Dominates AI Chip Race as Market Surges Toward $500 Billion Milestone,"SAN FRANCISCO — NVIDIA Corp. solidified its commanding lead in the exploding artificial intelligence chip sector in early 2026, capturing roughly 80-85% of the AI accelerator market while the broader AI semiconductor industry hurtled toward half a trillion do…",https://www.ibtimes.com.au/10-best-ai-chip-makers-2026-nvidia-dominates-ai-chip-race-market-surges-toward-500-billion-1866051,https://d.ibtimes.com.au/en/full/1858708/tech-giants-ai-race-have-been-spending-billions-dollars-gpus-made-nvidia-considered-leader.jpg,2026-04-10T09:46:44Z,"SAN FRANCISCO — NVIDIA Corp. solidified its commanding lead in the exploding artificial intelligence chip sector in early 2026, capturing roughly 80-85% of the AI accelerator market while the broader… [+8971 chars]"
Ibtimes.com.au,Mike Clair,"TSMC Shares Surge Past 2,000 TWD as AI Demand Fuels Record Q1 Revenue Surge","TAIPEI, Taiwan — Taiwan Semiconductor Manufacturing Co. shares rocketed to a fresh intraday high of 2,000 Taiwan dollars Friday, jumping 2.30% as investors cheered the world's largest contract chipmaker's explosive growth fueled by insatiable demand for artif…",https://www.ibtimes.com.au/tsmc-shares-surge-past-2000-twd-ai-demand-fuels-record-q1-revenue-surge-1866048,https://d.ibtimes.com.au/en/full/1879065/tsmc-said-its-net-profit-first-three-months-2025-rose-603-percent-year-ago.jpg,2026-04-10T09:42:06Z,"TAIPEI, Taiwan — Taiwan Semiconductor Manufacturing Co. shares rocketed to a fresh intraday high of 2,000 Taiwan dollars Friday, jumping 2.30% as investors cheered the world's largest contract chipma… [+7447 chars]"
CNBC,Arjun Kharpal,TSMC posts 35% jump in revenue to new record high as AI chip demand stays strong,TSMC is benefiting from sustained demand for advanced semiconductors from its key customers like Apple and Nvidia.,https://www.cnbc.com/2026/04/10/tsmc-q1-record-revenue-ai-chip-demand-strong.html,https://image.cnbcfm.com/api/v1/image/108263658-1770697651993-gettyimages-2251610250-TFSPI_15122025-3274.jpeg?v=1775806078&w=1920&h=1080,2026-04-10T08:13:07Z,"Taiwan Semiconductor Manufacturing Co. on Friday posted another quarter of record revenue driven by demand for AI chips.
For January to March, the world's largest chipmaker reported revenue of 1.13 … [+2288 chars]"
RTE,RTÉ News,"TSMC's Q1 revenue jumps 35%, beating forecasts","The world's largest contract chipmaker, TSMC, has today reported first-quarter revenue of T$1.134 trillion ($35.71 billion), rising 35% on the year to beat market forecasts on surging interest in artificial intelligence (AI) applications.",https://www.rte.ie/news/business/2026/0410/1567508-tsmcs-q1-revenue-jumps-35-beating-forecasts/,https://www.rte.ie/images/0022e4bb-1600.jpg,2026-04-10T07:14:29Z,"The world's largest contract chipmaker, TSMC, has today reported first-quarter revenue of T$1.134 trillion ($35.71 billion), rising 35% on the year to beat market forecasts on surging interest in art… [+1082 chars]"
Financial Post,Bloomberg News,CATL Short Sellers at Risk of Squeeze on Earnings Surprise,"An earnings beat by Contemporary Amperex Technology Co. Ltd. next week may set the stage for a short squeeze, after a surge in the battery maker’s shares on bets tied to soaring energy prices.",https://financialpost.com/pmn/business-pmn/catl-short-sellers-at-risk-of-squeeze-on-earnings-surprise,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/04/catls-h-share-gains-reversed-as-premiums-surged.jpg,2026-04-10T07:02:14Z,"(Bloomberg) An earnings beat by Contemporary Amperex Technology Co. Ltd. next week may set the stage for a short squeeze, after a surge in the battery makers shares on bets tied to soaring energy pri… [+4834 chars]"
The Times of India,Reuters,"TSMC's Q1 revenue jumps 35% YoY, beats market forecasts","TSMC will ⁠report full first-quarter earnings on April 16, including ​an updated outlook for the current quarter ​and the full year. The company, whose customers include Nvidia, has been a major beneficiary of advances in AI, which has more than offset a tape…",https://economictimes.indiatimes.com/tech/technology/tsmcs-q1-revenue-jumps-35-yoy-beats-market-forecasts/articleshow/130161980.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-89122,resizemode-75,msid-130161980/tech/technology/tsmcs-q1-revenue-jumps-35-yoy-beats-market-forecasts.jpg",2026-04-10T06:51:34Z,"The world's largest contract chipmaker, TSMC, reported first-quarter revenue of T$1.134 trillion ($35.71 billion) on Friday, rising 35% on the year to beat market forecasts on surging interest in art… [+1104 chars]"
Financial Post,Bloomberg News,TSMC’s Sales Beat Estimates After War Fails to Dent AI Demand,"Taiwan Semiconductor Manufacturing Co. reported a 35% increase in quarterly revenue, suggesting global AI chip demand remained intact during the first weeks of war in the Middle East.",https://financialpost.com/pmn/business-pmn/tsmcs-sales-beat-estimates-after-war-fails-to-dent-ai-demand,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/04/tsmc-shares-shrug-off-concerns-over-war-ai-bubble-stock-re.jpg,2026-04-10T06:00:32Z,"(Bloomberg) Taiwan Semiconductor Manufacturing Co. reported a 35% increase in quarterly revenue, suggesting global AI chip demand remained intact during the first weeks of war in the Middle East.
TH… [+4760 chars]"
CNA,,"TSMC's Q1 revenue jumps 35% y/y, beats market forecasts","TAIPEI, April 10 : The world's largest contract chipmaker, TSMC, reported first-quarter revenue of T$1.134 trillion ($35.71 billion) on Friday, rising 35 per cent on the year to beat market forecasts on surging interest in artificial intelligence (AI) applica…",https://www.channelnewsasia.com/business/tsmcs-q1-revenue-jumps-35-yy-beats-market-forecasts-6048561,"https://dam.mediacorp.sg/image/upload/s--IIQ0NjtA--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-04-10T053612Z_1_LYNXMPEM3908A_RTROPTP_3_TSMC-RESULTS.JPG?itok=WZJlNU3y",2026-04-10T05:37:11Z,"TAIPEI, April 10 : The world's largest contract chipmaker, TSMC, reported first-quarter revenue of T$1.134 trillion ($35.71 billion) on Friday, rising 35 per cent on the year to beat market forecasts… [+1157 chars]"
CNA,,TSMC's first-quarter revenue surges as AI interest propels sales beyond market forecasts,"TAIPEI, April 10 : TSMC, the world's largest contract chipmaker, on Friday reported a 35 per cent surge in first-quarter revenue, beating market forecasts, thanks to unabated interest in artificial intelligence applications.January-March revenue reached T$1.1…",https://www.channelnewsasia.com/business/tsmcs-first-quarter-revenue-surges-ai-interest-propels-sales-beyond-market-forecasts-6048561,"https://dam.mediacorp.sg/image/upload/s--IIQ0NjtA--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-04-10T053612Z_1_LYNXMPEM3908A_RTROPTP_3_TSMC-RESULTS.JPG?itok=WZJlNU3y",2026-04-10T05:37:11Z,"TAIPEI, April 10 : TSMC, the world's largest contract chipmaker, on Friday reported a 35 per cent surge in first-quarter revenue, beating market forecasts, thanks to unabated interest in artificial i… [+1755 chars]"
CNA,,"TSMC's Q1 revenue jumps 35% y/y, beats market forecast","TAIPEI, April 10 : TSMC, the world's largest contract chipmaker, reported on Friday first-quarter revenue of T$1.134 trillion ($35.71 billion), beating the market forecasts and up 35 per cent on the year ago period on surging interest in artificial intelligen…",https://www.channelnewsasia.com/business/tsmcs-q1-revenue-jumps-35-yy-beats-market-forecast-6048561,"https://dam.mediacorp.sg/image/upload/s--IIQ0NjtA--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-04-10T053612Z_1_LYNXMPEM3908A_RTROPTP_3_TSMC-RESULTS.JPG?itok=WZJlNU3y",2026-04-10T05:37:11Z,"TAIPEI, April 10 : TSMC, the world's largest contract chipmaker, reported on Friday first-quarter revenue of T$1.134 trillion ($35.71 billion), beating the market forecasts and up 35 per cent on the … [+323 chars]"
